Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Darnell Alford,Boston College,OT,76,334,,5.56,23,25.0,94,4.98,8.48
2000,Kyle Allamon,Texas Tech,TE,75,253,,4.97,,29.0,104,4.49,7.29
2000,Rashard Anderson,Jackson State,CB,75,206,,4.55,,34.0,123,4.15,7.18
2000,Corey Atkins,South Carolina,OLB,73,237,,4.72,21,31.0,112,4.39,7.96
2000,Reggie Austin,Wake Forest,CB,70,175,,4.44,17,35.0,119,4.14,7.03
2000,Mark Baniewicz,Syracuse,OT,78,312,,5.34,20,28.0,96,4.73,7.72
2000,Rashidi Barnes,Colorado,FS,73,208,,4.62,10,35.0,114,4.32,6.92
2000,David Barrett,Arkansas,CB,70,199,,4.44,16,37.5,116,4.04,6.81
2000,William Bartee,Oklahoma,CB,73,192,,4.43,,38.5,124,3.99,6.70
2000,Terrance Beadles,Arkansas-Pine Bluff,OG,75,312,,5.19,29,,,,
2000,Robert Bean,Mississippi State,CB,71,178,,4.50,,34.5,122,4.20,6.87
2000,Anthony Becht,West Virginia,TE,78,270,,*4.78,,33.5,123,4.08,6.94
2000,Rogers Beckett,Marshall,FS,74,207,,4.62,15,39.5,119,4.29,6.48
2000,Brad Bedell,Colorado,OG,77,302,,5.07,17,31.5,103,4.58,7.76
2000,Marcus Bell,Arizona,ILB,74,237,,4.78,21,31.5,111,4.33,7.17
2000,Michael Boireau,Miami,DE,76,274,,5.09,26,29.0,105,4.49,7.68
2000,Matt Bowen,Iowa,SS,73,201,,4.49,12,33.0,115,4.09,7.06
2000,Tom Brady,Michigan,QB,77,211,33,5.28,,24.5,99,4.38,7.20
2000,Robert Brannon,Iowa State,DT,76,309,,5.19,28,28.5,99,4.70,7.82
2000,Demario Brown,Utah State,RB,73,217,,4.72,,31.0,107,4.39,7.17
2000,Keith Brown,UCLA,RB,71,216,,4.66,,30.0,117,4.08,6.64
2000,Mike Brown,Nebraska,SS,70,204,,4.59,14,36.0,116,4.01,6.93
2000,Ralph Brown,Nebraska,CB,70,185,,*4.55,10,,,,
2000,Travis Brown,Northern Arizona,QB,76,218,35,5.01,,29.0,101,4.87,7.54
2000,Lamont Bryant,Notre Dame,DE,76,260,,4.91,17,,,,
2000,Marc Bulger,West Virginia,QB,74,208,29,4.97,,,100,4.34,7.46
2000,Keith Bulluck,Syracuse,OLB,75,244,,*4.47,,38.0,119,4.13,7.33
2000,Bill Burke,Michigan State,QB,76,206,30,5.03,,28.5,107,4.42,7.46
2000,Plaxico Burress,Michigan State,WR,78,231,,*4.59,,33.0,115,,
2000,David Byrd,Syracuse,CB,73,202,,4.53,14,36.0,117,4.39,7.18
2000,Trung Canidate,Arizona,RB,71,193,,4.41,18,,,,
2000,Cooper Carlisle,Florida,OG,78,297,,5.16,28,31.0,100,4.48,7.82
2000,Giovanni Carmazzi,Hofstra,QB,75,224,32,4.74,,36.5,119,4.23,6.94
2000,Leonardo Carson,Auburn,DE,74,283,,5.06,22,28.0,106,4.75,7.82
2000,Tyrone Carter,Minnesota,SS,68,190,,4.50,16,41.0,121,4.19,6.75
2000,Kwame Cavil,Texas,WR,74,208,,*4.54,,39.5,118,,
2000,Doug Chapman,Marshall,RB,70,215,,4.56,16,38.5,128,4.20,6.84
2000,Ike Charlton,Virginia Tech,CB,71,205,,4.47,16,,126,,
2000,Chrys Chukwuma,Arkansas,RB,73,232,,4.56,,,115,,
2000,Joey Chustz,Louisiana Tech,OT,79,304,,5.08,28,31.0,103,4.65,7.65
2000,Kendrick Clancy,Mississippi,DT,73,283,,5.25,25,27.5,108,4.65,7.98
2000,Travis Claridge,Southern California,OG,77,303,,5.15,29,31.5,100,4.86,7.77
2000,Danny Clark,Illinois,ILB,74,245,,4.75,20,,,,
2000,Chad Clifton,Tennessee,OT,77,334,,5.05,24,30.5,102,4.73,7.58
2000,Chris Cole,Texas A&M,WR,73,191,,4.37,,37.5,125,4.09,6.76
2000,Chris Coleman,North Carolina State,WR,73,211,,4.61,,32.5,110,4.10,6.79
2000,Cosey Coleman,Tennessee,OG,76,322,,5.40,,28.0,101,4.97,8.15
2000,Laveranues Coles,Florida State,WR,71,192,,4.41,,34.0,115,4.39,6.89
2000,Chris Combs,Duke,DT,77,286,,5.16,22,,,,
2000,Kurth Connell,Washington,OT,76,291,,5.49,27,33.0,103,4.84,8.14
2000,Rameel Connor,Illinois,DE,75,276,,5.00,25,35.5,121,4.45,7.65
2000,Ashley Cooper,Mississippi State,SS,70,208,,4.67,16,,117,,
2000,D.J. Cooper,Arkansas,DT,75,277,,5.22,,28.0,108,4.49,7.41
2000,Renard Cox,Maryland,CB,73,192,,4.68,13,38.0,111,,7.10
2000,Casey Crawford,Virginia,TE,78,244,,*4.83,18,,,,
2000,Sedrick Curry,Texas A&M,CB,74,197,,4.44,,39.0,125,3.94,6.34
2000,JoeDean Davenport,Arkansas,TE,79,268,,5.09,13,30.0,108,4.67,7.33
2000,Adam Davis,Oklahoma State,OG,76,309,,5.66,,26.0,92,5.00,8.51
2000,JaJuan Dawson,Tulane,WR,73,199,,4.55,,34.0,117,4.16,6.96
2000,Jerry DeLoach,California,DT,75,314,,4.99,19,31.5,101,4.57,7.40
2000,Mike Derouselle,Houston,DT,75,314,,5.28,27,27.5,96,4.80,7.67
2000,Reuben Droughns,Oregon,RB,71,215,,4.66,13,30.0,115,4.41,7.34
2000,Ron Dugans,Florida State,WR,74,206,,*4.58,,,117,,
2000,Deon Dyer,North Carolina,FB,71,260,,4.99,,28.0,104,4.81,7.88
2000,Mario Edwards,Florida State,CB,73,191,,*4.46,,,120,,
2000,John Engelberger,Virginia Tech,DE,76,260,,4.73,24,34.0,115,4.28,6.95
2000,Dwan Epps,Texas Southern,ILB,73,242,,*4.68,8,34.5,,,
2000,Kevin Feterik,BYU,QB,71,207,18,4.92,,31.0,106,4.45,7.30
2000,Aaron Fields,Troy,DE,76,243,,4.76,22,34.0,115,4.56,7.51
2000,Zeron Flemister,Iowa,TE,77,249,,4.72,14,37.0,116,4.16,6.92
2000,Erik Flowers,Arizona State,DE,76,271,,4.75,24,33.0,114,4.15,7.21
2000,Derrick Foster,Texas A&M-Kingsville,RB,73,201,,4.43,19,34.5,117,4.36,6.84
2000,Larry Foster,Louisiana State,WR,70,198,,4.55,,37.0,121,4.06,6.88
2000,John Frank,Utah,DE,76,280,,4.78,32,37.0,117,4.27,7.07
2000,Todd Franz,Tulsa,FS,73,199,,*4.55,14,,,,
2000,Arturo Freeman,South Carolina,FS,73,188,,4.50,14,35.5,124,4.38,6.91
2000,Byron Frisch,BYU,DE,77,281,,4.73,31,34.5,114,4.41,7.20
2000,Justin Fuente,Murray State (KY),QB,74,225,33,5.22,,27.5,100,4.42,7.51
2000,Mondriel Fulcher,Miami,FB,76,253,,4.85,18,27.0,116,4.52,7.46
2000,Trent Gamble,Wyoming,FS,69,186,,4.56,21,37.0,124,3.90,6.60
2000,Jason Gavadza,Kent State (OH),TE,75,249,,4.62,22,32.5,113,4.30,7.15
2000,Trevor Gaylor,Miami (OH),WR,75,199,,4.56,,37.5,121,4.29,7.03
2000,Kabeer Gbaja-Biamila,San Diego State,OLB,76,243,,4.65,21,34.0,120,4.28,6.90
2000,Sherrod Gideon,Southern Mississippi,WR,71,173,,4.66,,,,,
2000,Ian Gold,Michigan,OLB,73,221,,4.56,21,33.0,115,4.19,6.97
2000,Deon Grant,Tennessee,SS,74,209,,*4.50,15,,,,
2000,Ernest Grant,Arkansas-Pine Bluff,DT,77,316,,5.31,24,29.5,98,5.03,8.00
2000,Lamar Grant,Duke,CB,71,188,,4.62,16,32.0,117,4.30,7.30
2000,Brian Gray,BYU,CB,73,214,,4.94,19,33.5,116,4.24,7.38
2000,Jonathan Gray,Texas Tech,OT,76,338,,5.85,20,23.0,94,,
2000,Barrett Green,West Virginia,OLB,73,233,,4.56,22,36.0,120,,
2000,Mike Green,Houston,FB,73,253,,4.78,25,28.5,108,4.34,7.08
2000,Mike Green,Northwestern State (LA),FS,73,189,,4.53,,38.5,118,4.20,
2000,Cornelius Griffin,Alabama,DE,75,297,,4.90,30,31.0,111,4.62,7.63
2000,Clark Haggans,Colorado State,OLB,76,253,,4.97,20,31.5,109,4.21,7.12
2000,Dante' Hall,Texas A&M,RB,68,191,,4.44,18,38.0,123,3.82,6.62
2000,James Hall,Michigan,DE,74,271,,5.03,,32.0,111,4.51,7.86
2000,Troy Hambrick,Savannah State,RB,73,237,,4.66,21,34.5,118,4.44,7.48
2000,Joe Hamilton,Georgia Tech,QB,70,192,18,4.81,,,106,,
